Type,SKU,Name,Published,Visibility in catalog,Short description,Description,In stock?,Categories,Tags,Images
simple,TUE-BA-006,Bandeja con ganchos para anillos (tue-ba-006),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja con ganchos para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-006</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-006",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-006-bandeja-con-ganchos-para-anillos.jpg
simple,TUE-BC-001,Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros) (tue-bc-001),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros). Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-001</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-001",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-001-bandeja-para-charms-encantos-cuadros-5-cm-x-5-cm-35-cuadros.jpg
simple,TUE-BC-002,Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros) (tue-bc-002),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros). Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-002</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-002",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-002-bandeja-para-charms-encantos-cuadros-5-cm-x-5-cm-35-cuadros.jpg
simple,TUE-BC-003,Bandeja para charms (encantos) con tapa removible cuadros : 5 cm x 5 cm (35 cuadros o a convenir) (tue-bc-003),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) con tapa removible cuadros : 5 cm x 5 cm (35 cuadros o a convenir). Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-003</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-003",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-003-bandeja-para-charms-encantos-con-tapa-removible-cuadros-5-cm-.jpg
simple,TUE-BC-004,Bandeja para charms (encantos) y anillos cuadros : 5 cm x 5 cm (tue-bc-004),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) y anillos cuadros : 5 cm x 5 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-004</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 4.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-004",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-004-bandeja-para-charms-encantos-y-anillos-cuadros-5-cm-x-5-cm.jpg
simple,TUE-019,"Set hexagonales 3 tamaños altura hexágonos : 10 cm, 8 cm, 6 cm (tue-019)",1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set hexagonales 3 tamaños altura hexágonos : 10 cm, 8 cm, 6 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-019</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 7.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-019",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-019-set-hexagonales-3-tamanos-altura-hexagonos-10-cm-8-cm-6-cm.jpg
simple,TUE-BA-034,Exhibidor plano para 21 pares de aros (tue-ba-034),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor plano para 21 pares de aros. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-034</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 14.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-034",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-034-exhibidor-plano-para-21-pares-de-aros.jpg
simple,TUE-BA-035,Exhibidor plano para cadenas (tue-ba-035),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor plano para cadenas. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-035</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 14.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-035",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-035-exhibidor-plano-para-cadenas.jpg
simple,TUE-DI-043,Accesorio para dijes (tue-di-043),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Accesorio para dijes. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-DI-043</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 16.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-DI-043",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-di-043-accesorio-para-dijes.jpg
simple,TUE-DI-015,Exhibidor para dijes (tue-di-015),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor para dijes. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-DI-015</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 16.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-DI-015",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-di-015-exhibidor-para-dijes.jpg
simple,TUE-STAND-001,Set vitrina exhibidor 001 piezas ecocuero (tue-stand-001),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 001 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-001</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 18.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-001",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-001-set-vitrina-exhibidor-001-piezas-ecocuero.jpg
simple,TUE-STAND-002,Set vitrina exhibidor 002 piezas ecocuero (tue-stand-002),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 002 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-002</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 18.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-002",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-002-set-vitrina-exhibidor-002-piezas-ecocuero.jpg
simple,TUE-STAND-003,Set vitrina exhibidor 003 piezas ecocuero (tue-stand-003),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 003 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-003</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 18.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-003",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-003-set-vitrina-exhibidor-003-piezas-ecocuero.jpg
simple,TUE-STAND-004,Set vitrina exhibidor 004 piezas ecocuero (tue-stand-004),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 004 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-004</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 19.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-004",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-004-set-vitrina-exhibidor-004-piezas-ecocuero.jpg
simple,TUE-STAND-005,Set vitrina exhibidor 005 piezas ecocuero (tue-stand-005),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 005 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-005</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 19.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-005",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-005-set-vitrina-exhibidor-005-piezas-ecocuero.jpg
simple,TUE-STAND-006,Set vitrina exhibidor 006 piezas ecocuero (tue-stand-006),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 006 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-006</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 19.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-006",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-006-set-vitrina-exhibidor-006-piezas-ecocuero.jpg
simple,TUE-STAND-007,Set vitrina exhibidor 007 piezas ecocuero (tue-stand-007),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 007 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-007</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 20.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-007",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-007-set-vitrina-exhibidor-007-piezas-ecocuero.jpg
simple,TUE-STAND-008,Set vitrina exhibidor 008 piezas ecocuero (tue-stand-008),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 008 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-008</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 20.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-008",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-008-set-vitrina-exhibidor-008-piezas-ecocuero.jpg
simple,TUE-STAND-009,Set vitrina exhibidor 009 piezas ecocuero (tue-stand-009),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 009 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-009</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 21.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-009",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-009-set-vitrina-exhibidor-009-piezas-ecocuero.jpg
simple,TUE-STAND-010,Set vitrina exhibidor 010 piezas ecocuero (tue-stand-010),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 010 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-010</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 21.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-010",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-010-set-vitrina-exhibidor-010-piezas-ecocuero.jpg
simple,TUE-STAND-011,Set vitrina exhibidor 011 piezas ecocuero (tue-stand-011),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 011 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-011</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 21.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-011",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-011-set-vitrina-exhibidor-011-piezas-ecocuero.jpg
simple,TUE-STAND-012,Set vitrina exhibidor 012 piezas ecocuero (tue-stand-012),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 012 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-012</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 22.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-012",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-012-set-vitrina-exhibidor-012-piezas-ecocuero.jpg
simple,TUE-STAND-013,Set vitrina exhibidor 013 piezas ecocuero (tue-stand-013),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set vitrina exhibidor 013 piezas ecocuero. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-STAND-013</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 22.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-STAND-013",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-stand-013-set-vitrina-exhibidor-013-piezas-ecocuero.jpg
